ID,Band,,,,,
1,The Acacia Strain,,,,,
2,AFI,,,,,
3,Affiance,,,,,
4,The Afterimage,,,,,
5,After the Burial,,,,,
6,Alesana,,,,,
7,Alexisonfire,,,,,
8,Alice in Chains,,,,,
9,All Time Low,,,,,
10,Alpha Wolf,,,,,
11,Animals As Leaders,,,,,
12,Architects,,,,,
13,As Cities Burn,,,,,
14,As I Lay Dying,,,,,
15,August Burns Red,,,,,
16,Auras,,,,,
17,Avenged Sevenfold,,,,,
18,Bent Knee,,,,,
19,Between the Buried and Me,,,,,
20,Billy Talent,,,,,
21,The Black Dahlia Murder,,,,,
22,Blessthefall,,,,,
23,Blink-182,,,,,
24,Born of Osiris,,,,,
25,Bring Me the Horizon,,,,,
26,Cannibal Corpse,,,,,
27,Chelsea Grin,,,,,
28,Chiodos,,,,,
29,CHON,,,,,
30,The Contortionist,,,,,
31,Counterparts,,,,,
32,Crystal Lake,,,,,
33,Currents,,,,,
34,Dance Gavin Dance,,,,,
35,A Day to Remember,,,,,
36,Deafheaven,,,,,
37,Deftones,,,,,
38,Dead and Divine,,,,,
39,The Devil Wears Prada,,,,,
40,Devin Townsend,,,,,
41,The Dillinger Escape Plan,,,,,
42,Drop Dead Gorgeous,,,,,
43,Dying Wish,,,,,
44,Emarosa,,,,,
45,Erra,,,,,
46,Escape the Fate,,,,,
47,Ever Forthright,,,,,
48,Every Time I Die,,,,,
49,The Faceless,,,,,
50,Fall in Archaea,,,,,
51,The Fall of Troy,,,,,
52,Fallujah,,,,,
53,Falset,,,,,
54,Five Finger Death Punch,,,,,
55,For Today,,,,,
56,The Ghost Inside,,,,,
57,Gob,,,,,
58,Gojira,,,,,
59,Green Day,,,,,
60,Greyhaven,,,,,
61,Haken,,,,,
62,The Helix Nebula,,,,,
63,Hollerado,,,,,
64,The Intake of Glass,,,,,
65,Intervals,,,,,
66,Intronaut,,,,,
67,Invent Animate,,,,,
68,I Set My Friends on Fire,,,,,
69,Iwrestledabearonce,,,,,
70,Job for a Cowboy,,,,,
71,Khemmis,,,,,
72,Killswitch Engage,,,,,
73,The Kindred (Today I Caught the Plague),,,,,
74,Last Chance to Reason,,,,,
75,Leprous,,,,,
76,letlive.,,,,,
77,Limbs,,,,,
78,Little Texas,,,,,
79,Make Them Suffer,,,,,
80,Mandroid Echostar,,,,,
81,Mastodon,,,,,
82,mewithoutyou,,,,,
83,Misery Signals,,,,,
84,Motionless in White,,,,,
85,Mötorhead,,,,,
86,Muse,,,,,
87,My Chemical Romance,,,,,
88,Native Construct,,,,,
89,Nick Cave and the Bad Seeds,,,,,
90,Northlane,,,,,
91,Obey the Brave,,,,,
92,The Ocean,,,,,
93,"Oh, Sleeper",,,,,
95,Periphery,,,,,
96,Pierce the Veil,,,,,
97,Plini,,,,,
98,Polyphia,,,,,
99,Protest the Hero,,,,,
100,Radiohead,,,,,
101,Red Fang,,,,,
102,Revocation,,,,,
103,Rings of Saturn,,,,,
104,Rivers of Nihil,,,,,
105,Royal Coda,,,,,
106,Save Us From the Archon,,,,,
107,Scale the Summit,,,,,
108,Shenandoah,,,,,
109,Sigur Rós,,,,,
110,Silent Planet,,,,,
111,Silverstein,,,,,
112,Silversun Pickups,,,,,
113,Stand Atlantic,,,,,
114,Stray from the Path,,,,,
115,Structures,,,,,
116,Sum 41,,,,,
117,System of a Down,,,,,
118,TesseracT,,,,,
119,Texas in July,,,,,
121,Theory of a Deadman,,,,,
122,This is a Standoff,,,,,
123,This or the Apocalypse,,,,,
124,Thornhill,,,,,
125,Three Days Grace,,,,,
126,Trivium,,,,,
127,Toothgrinder,,,,,
128,Underoath,,,,,
129,Unearth,,,,,
130,The Used,,,,,
132,Veil of Maya,,,,,
133,Volumes,,,,,
134,Whitechapel,,,,,
135,With Confidence,,,,,
136,Within the Ruins,,,,,
137,Your Memorial,,,,,
138,3OH!3,,,,,
139,Attack Attack!,,,,,
140,A Skylit Drive,,,,,
141,illScarlett,,,,,
142,The Word Alive,,,,,
143,Blind Witness,,,,,
144,Kataklysm,,,,,
145,Goatwhore,,,,,
146,Emmure,,,,,
147,Memphis May Fire,,,,,
148,In This Moment,,,,,
149,Fear Before,,,,,
150,Senses Fail,,,,,
151,Norma Jean,,,,,
152,La Dispute,,,,,
153,Moneen,,,,,
154,Sonny Moore,,,,,
155,The Matches,,,,,
156,Forever the Sickest Kids,,,,,
158,Mayday Parade,,,,,
159,The Maine,,,,,
160,Suicide Silence,,,,,
161,In Fear and Faith,,,,,
162,Paramore,,,,,
163,Miss May I,,,,,
164,Cancer Bats,,,,,
165,Enter Shikari,,,,,
166,Shadows Fall,,,,,
167,Burn Halo,,,,,
168,Disturbed,,,,,
169,Stone Sour,,,,,
170,Cephalic Carnage,,,,,
171,Choke,,,,,
172,Skyharbor,,,,,
173,Arsonists Get All the Girls,,,,,
174,Pup,,,,,
175,From First to Last,,,,,
176,Maylene and the Sons of Disaster,,,,,
177,Default,,,,,
178,Set Your Goals,,,,,
179,Earthside,,,,,
180,VOLA,,,,,
181,With the Punches,,,,,
182,Forever Came Calling,,,,,
183,State Champs,,,,,
184,Dwight Yoakam,,,,,
185,Caspian,,,,,
186,The Plot in You,,,,,
187,Avoid,,,,,
188,Cane Hill,,,,,
189,Behaviour,,,,,
190,Foreign Hands,,,,,
191,SeeYouSpaceCowboy...,,,,,
192,The Wonder Years,,,,,
193,Hot Mulligan,,,,,
194,Ready The Prince,,,,,
195,Spiritbox,,,,,
196,Arch Echo,,,,,
197,Like Moths To Flames,,,,,
198,Fall Out Boy,,,,,
199,Thank You Scientist,,,,,
200,Magdalena Bay,,,,,
201,Rina Sawayama,,,,,
202,Ice Nine Kills,,,,,
203,Mike's Dead,,,,,